BEZ235,GDC0941,MK2206,GSK2334470,Rapamycin,Ku-0063794,CHIR-99021,Sorafenib,PLX4720,Trametinib/DMSO,Erlotinib,Gefitinib,Lapatinib,NVP-TAE684,R428,BMS536924,BMS754807,NVP-AEW541,GSK-1838705A,OSI-906,Vatalanib,Tandutinib,Su6668,Sunitinib,Imatinib,Paclitaxel,Pemetrexed,Carbo plantin,Gemcitabine,Etoposide,Ruxolitinib,PF-573228,Sch727965,VX680,Dasatinib
0.501375114,-0.579780736,0.239676646,0.08610999,0.05408046,0.708903447,-0.275796262,-0.429083298,-0.555033463,0.02375459,-1.004549212,-0.665689775,-0.955054677,0.318787772,0.064016133,0.219996095,0.187915091,0.210298962,-0.077575895,-0.170278614,-0.439166613,-0.146256177,0.376640555,-0.367353619,0.281313436,0.5819481,-0.018723462,0.506579387,0.423389922,-0.063213894,-0.024199246,0.588102898,1.248973392,-0.009612085,1.621817052
-0.283897362,-0.174864935,-0.106090416,-0.049028065,-0.085405643,-0.076700027,0.073878581,-0.035276033,-0.157955124,-0.640654815,-0.030450892,0.01326877,0.024653388,-0.260186128,-0.127597143,-0.051095802,-0.00983744,-0.060331756,-0.112477952,0.04308679,0.080535273,0.008034989,-0.071887015,0.022969977,-0.041867162,-0.135264322,0.075983827,-0.042662202,-0.034369582,0.048540721,0.009484819,-0.079271491,-0.184489088,0.019213689,-0.195129016
-0.36022648,-0.162349288,0.059767653,-0.058911349,-0.187722049,-0.369037609,0.051126639,0.012078537,-0.132817566,-0.305444395,-0.067314984,-0.04997375,0.123634872,-0.081175492,0.13308794,-0.101155073,-0.088510999,0.027333915,0.040235265,-0.024224863,0.016192744,-0.003950588,-0.031160399,-0.005853957,0.051814094,-0.167033915,-0.113836752,-0.06196874,0.042329894,0.019795309,-0.151242322,-0.138242176,0.083288973,-0.140156586,-0.361461224
0.144759987,-0.050418493,0.071408036,-0.03839501,-0.071801414,-0.006519736,-0.217138198,-0.137122883,-0.127185281,-0.256038792,-0.043967289,-0.01060512,0.074617325,0.001402215,-0.098590486,-0.098377256,-0.045002364,-0.008601663,0.018366936,0.125647842,0.046188279,0.033899137,-0.051121369,-0.039495919,0.024495788,0.146736597,0.070159584,-0.039105288,0.147810012,0.230770471,-0.15471364,-0.0967068,0.605477964,-0.079064218,-0.227739877
-0.050471564,-0.058840628,-0.109544985,-0.070392931,-0.128227727,-0.239167365,0.104187424,0.012891818,0.064667788,0.696349924,0.058763775,-0.01162454,0.010516595,0.045961519,-0.041297699,0.072351717,0.216653151,0.085900232,-0.002305684,-0.08024764,-0.015811649,-0.097723272,-0.067344315,-0.077546824,-0.025013208,-0.070250964,0.161028502,0.005191964,0.015646526,0.159872974,0.00582852,0.039727703,-0.13976364,-0.1640912,-0.059733095
-0.052276338,0.060010003,0.058709191,-0.085814372,-0.090580059,-0.535778802,0.078055306,-0.106913686,-0.098180734,-0.398245637,-0.102496516,-0.110659716,0.116132532,-0.122627062,0.085204589,-0.081178285,-0.013019928,-0.025632119,-0.059288184,0.025189948,-0.027193801,0.043720114,0.12628327,-0.02989798,0.07146066,0.355900813,0.105537067,-0.001724889,0.061947565,0.14174531,-0.139656599,-0.131386747,-0.567396908,-0.050335257,-0.312735787
0.200277684,-0.139497482,-0.07491473,-0.111452321,-0.015762695,-0.304642789,0.094813726,0.072648468,-0.098222046,0.034281002,0.109222982,0.081428028,-0.010238195,0.025678904,0.517607615,0.020691655,-0.043192737,0.014844267,0.009166572,0.085158245,0.040507803,-0.016580147,-0.021248716,0.049051678,-0.020750787,0.011440694,0.417451566,-0.060892937,-0.002596267,-0.109788495,0.044446815,-0.037796521,-0.5035205,0.066607227,-0.116429025
-0.555640309,-0.143782303,0.094298922,0.010607511,0.031729339,0.053360096,0.149749393,-0.119317507,-0.126495024,-0.490017297,0.116645472,-0.002984834,0.109705674,-0.159839347,-0.039926158,-0.013848505,0.013727579,0.040630913,0.012349124,-0.03712968,0.086737022,0.057553595,-0.083981938,0.036623283,-0.033074284,-0.043421671,-0.071888755,-0.040052283,-0.109105779,-0.064846821,0.023109909,-0.041261294,0.004414558,0.071788758,-0.42884997
-0.288352587,-0.080099594,-0.015505703,-0.174877407,-0.169764369,-0.165134976,-0.135640599,-0.061056274,-0.138490556,-0.448743261,-0.053454166,-0.05366184,0.05108635,-0.073915149,-0.065557973,-0.022600497,-0.05708886,-0.067662563,-0.10387659,-0.046761546,-0.006170825,0.000758531,-0.068899556,-0.002986657,-0.028221371,0.025883382,-0.243048042,0.020106628,-0.174423544,-0.109887147,-0.105410515,-0.088967385,-0.006619952,-0.178510475,-0.069031213
0.00941459,-0.002062429,-0.050864772,-0.041030761,-0.093801972,0.201060845,0.222048171,-0.054471863,0.045733149,-0.401208304,0.021871421,-0.002875726,0.035343493,-0.187717644,-0.016526432,-0.073276679,-0.015925941,-0.073468649,-0.053898959,0.009562277,-0.006164113,0.063127146,-0.129986689,-0.016621571,0.000524316,-0.120307692,0.280519497,-0.004511228,0.039623982,0.092327397,0.106810736,-0.026661969,-1.021477224,0.139585366,-0.15549544
