Gene,Stage,Expr
MYCL2,2,1.087488391
MYCL2,3,1.219255094
MYCL2,2,0.947370071
MYCL2,2,0.959264119
MYCL2,2,0.693515485
MYCL2,3,1.292352831
MYCL2,3,1.204972315
MYCL2,1,1.012554807
MYCL2,1,1.199971382
MYCL2,3,0.869947353
MYCL2,3,1.018891197
MYCL2,2,0.97874165
MYCL2,2,1.061423209
MYCL2,3,0.948684315
MYCL2,2,0.859160755
MYCL2,3,0.840313752
MYCL2,3,1.050444544
MYCL2,3,0.921464186
MYCL2,2,0.872967591
MYCL2,3,0.979420298
MYCL2,3,1.121943481
MYCL2,2,1.067325338
MYCL2,3,1.009051634
MYCL2,3,4.030615042
MYCL2,1,1.192508872
MYCL2,1,1.258757174
MYCL2,2,0.90312651
MYCL2,2,1.161508732
MYCL2,2,0.983502074
MYCL2,3,1.10343374
MYCL2,2,2.472550522
MYCL2,2,1.22858698
MYCL2,2,1.098854218
MYCL2,2,1.168777249
MYCL2,3,1.900000766
MYCL2,2,0.994470169
MYCL2,2,0.89564567
MYCL2,2,0.929160674
MYCL2,2,0.76684133
MYCL2,3,1.268391399
MYCL2,2,1.2397077
MYCL2,2,0.974004269
MYCL2,3,1.030968319
MYCL2,2,0.828170661
MYCL2,3,2.279946545
MYCL2,1,1
MYCL2,1,1.022428531
MYCL2,3,0.796088099
MYCL2,3,0.846745312
MYCL2,2,0.85797053
MYCL1_v2,2,0.986232704
MYCL1_v2,3,1.145517898
MYCL1_v2,2,1.577893682
MYCL1_v2,2,1.45195828
MYCL1_v2,2,1.247465572
MYCL1_v2,3,0.888226796
MYCL1_v2,3,1.296839555
MYCL1_v2,1,0.958599438
MYCL1_v2,1,1.22603486
MYCL1_v2,3,1.250062303
MYCL1_v2,3,1.654046737
MYCL1_v2,2,1.442928687
MYCL1_v2,2,1.479387509
MYCL1_v2,3,1.036701101
MYCL1_v2,2,1.059952783
MYCL1_v2,3,0.698823486
MYCL1_v2,3,1.117287138
MYCL1_v2,3,0.844986384
MYCL1_v2,2,1.082975046
MYCL1_v2,3,0.770037174
MYCL1_v2,3,0.976031761
MYCL1_v2,2,1.285206337
MYCL1_v2,3,1.059952783
MYCL1_v2,3,6.100806613
MYCL1_v2,1,2.628063254
MYCL1_v2,1,1.720705261
MYCL1_v2,2,1.354724977
MYCL1_v2,2,2.365262
MYCL1_v2,2,2.060507907
MYCL1_v2,3,1.758079122
MYCL1_v2,2,4.853414241
MYCL1_v2,2,1.461044379
MYCL1_v2,2,1.154285418
MYCL1_v2,2,1.717130873
MYCL1_v2,3,3.882537879
MYCL1_v2,2,1.384149716
MYCL1_v2,2,1.381274448
MYCL1_v2,2,0.770037174
MYCL1_v2,2,1.126619229
MYCL1_v2,3,1.472226862
MYCL1_v2,2,1.697015803
MYCL1_v2,2,1.733875127
MYCL1_v2,3,2.391639594
MYCL1_v2,2,1.42800398
MYCL1_v2,3,2.613530508
MYCL1_v2,1,0.898132373
MYCL1_v2,1,1.21335356
MYCL1_v2,3,1.461044379
MYCL1_v2,3,1.237132479
MYCL1_v2,2,1.309485423
PLA2G6,2,1.102669163
PLA2G6,3,1.042465761
PLA2G6,2,1.256142381
PLA2G6,2,1.156688184
PLA2G6,2,1.296839555
PLA2G6,3,1.373636233
PLA2G6,3,1.486582984
PLA2G6,1,1.860899315
PLA2G6,1,1.775222675
PLA2G6,3,1.071773463
PLA2G6,3,1.082224645
PLA2G6,2,1.149494848
PLA2G6,2,1.298638603
PLA2G6,3,2.020902893
PLA2G6,2,1.569168196
PLA2G6,3,1.391846392
PLA2G6,3,1.115739322
PLA2G6,3,0.882091365
PLA2G6,2,1.42800398
PLA2G6,3,1.111108729
PLA2G6,3,0.879039561
PLA2G6,2,1.344434994
PLA2G6,3,0.96996191
PLA2G6,3,1.358486285
PLA2G6,1,1.332374825
PLA2G6,1,1.503161478
PLA2G6,2,1.186736798
PLA2G6,2,1.271913007
PLA2G6,2,1.286989247
PLA2G6,3,1.636938363
PLA2G6,2,1.155085785
PLA2G6,2,1.145517898
PLA2G6,2,1.043188594
PLA2G6,2,1.108032348
PLA2G6,3,1.003471749
PLA2G6,2,1.178539408
PLA2G6,2,1.069547088
PLA2G6,2,1.076240125
PLA2G6,2,0.955282936
PLA2G6,3,1.271031689
PLA2G6,2,1.314031627
PLA2G6,2,1.29145735
PLA2G6,3,0.428390977
PLA2G6,2,1.016070143
PLA2G6,3,1.358486285
PLA2G6,1,1.4063932
PLA2G6,1,1.436940177
PLA2G6,3,1.111108729
PLA2G6,3,1.098092814
PLA2G6,2,1.686462221
MYCL1_v3,2,0.840313752
MYCL1_v3,2,1.316766922
MYCL1_v3,2,1.38991822
MYCL1_v3,3,0.774855931
MYCL1_v3,3,1.598811661
MYCL1_v3,1,0.559418551
MYCL1_v3,1,2.318191904
MYCL1_v3,3,1.040300267
MYCL1_v3,3,0.940826108
MYCL1_v3,2,1.090507733
MYCL1_v3,2,0.617709319
MYCL1_v3,3,0.930449658
MYCL1_v3,2,0.76630998
MYCL1_v3,3,0.441351498
MYCL1_v3,3,1.244011653
MYCL1_v3,3,0.926588062
MYCL1_v3,2,0.801069878
MYCL1_v3,3,0.942131274
MYCL1_v3,3,1.401527449
MYCL1_v3,3,1.059952783
MYCL1_v3,3,3.450965378
MYCL1_v3,1,1.073260286
MYCL1_v3,1,1.069547088
MYCL1_v3,2,0.977385766
MYCL1_v3,2,1.31494276
MYCL1_v3,2,1.076986376
MYCL1_v3,3,2.137611982
MYCL1_v3,2,2.223758315
MYCL1_v3,2,1.130530567
MYCL1_v3,2,1.50733491
MYCL1_v3,2,0.982139595
MYCL1_v3,3,2.347296357
MYCL1_v3,2,0.993781093
MYCL1_v3,2,0.86934456
MYCL1_v3,2,1.182631
MYCL1_v3,3,0.973329374
MYCL1_v3,2,1.846764621
MYCL1_v3,2,1.082224645
MYCL1_v3,3,1.217566019
MYCL1_v3,3,2.324628215
MYCL1_v3,1,0.642157904
MYCL1_v3,1,0.79940583
MYCL1_v3,3,0.776468875
MYCL1_v3,3,1.151089491
MYCL1_v3,2,0.51015233
MYC,2,0.50662845
MYC,3,0.559418551
MYC,2,0.508035071
MYC,2,0.384751805
MYC,2,0.402204185
MYC,3,0.78132788
MYC,3,0.696888619
MYC,1,0.25685036
MYC,1,0.220370039
MYC,3,0.34484023
MYC,3,0.20862732
MYC,2,0.544121221
MYC,2,1.101141598
MYC,3,0.181620631
MYC,2,0.2545463
MYC,3,0.222827624
MYC,3,0.36298957
MYC,3,1.783857039
MYC,2,0.889458994
MYC,3,0.374230747
MYC,3,1.767855062
MYC,2,0.529609167
MYC,3,3.557835974
MYC,3,0.230525779
MYC,1,0.768970416
MYC,1,0.474013483
MYC,2,0.654742712
MYC,2,0.231005643
MYC,2,0.455334917
MYC,3,0.341746863
MYC,2,0.512278412
MYC,2,0.333787076
MYC,2,0.725476104
MYC,2,0.695440986
MYC,3,0.21733614
MYC,2,0.232773705
MYC,2,0.254899421
MYC,2,0.819036698
MYC,2,0.493800431
MYC,3,0.740206649
MYC,2,0.327371356
MYC,2,0.648419777
MYC,3,0.779704843
MYC,2,0.478967609
MYC,3,0.181117769
MYC,1,1.220946513
MYC,1,1.130530567
