gene,concentration,survival
CH12F3,0,78.160428
CH12F3,0,98.82301708
CH12F3,0,123.0165549
Lig4-/-,0,84.46089616
Lig4-/-,0,103.0126834
Lig4-/-,0,112.5264204
53BP1-/-,0,87.6016572
53BP1-/-,0,106.567439
53BP1-/-,0,105.8309038
ATM-/-,0,84.92772454
ATM-/-,0,105.3922365
ATM-/-,0,109.680039
H2AX-/-,0,83.94714452
H2AX-/-,0,107.8515177
H2AX-/-,0,108.2013378
53BP1-/-BRAC1-/-,0,78.42637341
53BP1-/-BRAC1-/-,0,103.2817736
53BP1-/-BRAC1-/-,0,118.291853
CH12F3,12.5,99.3461206
CH12F3,12.5,114.9084503
CH12F3,12.5,127.0706072
Lig4-/-,12.5,79.54546536
Lig4-/-,12.5,73.99578541
Lig4-/-,12.5,96.67019203
53BP1-/-,12.5,101.0434249
53BP1-/-,12.5,116.3265306
53BP1-/-,12.5,108.7770447
ATM-/-,12.5,44.58340101
ATM-/-,12.5,62.51421147
ATM-/-,12.5,68.94591522
H2AX-/-,12.5,53.39618953
H2AX-/-,12.5,91.99300671
H2AX-/-,12.5,84.29696461
53BP1-/-BRAC1-/-,12.5,67.61266033
53BP1-/-BRAC1-/-,12.5,84.72092281
53BP1-/-BRAC1-/-,12.5,91.49966833
CH12F3,25,87.4455155
CH12F3,25,101.9616382
CH12F3,25,123.9319861
Lig4-/-,25,71.77591344
Lig4-/-,25,83.19239789
Lig4-/-,25,97.46300346
53BP1-/-,25,90.17953046
53BP1-/-,25,110.2501151
53BP1-/-,25,127.7428265
ATM-/-,25,34.4485951
ATM-/-,25,46.53240214
ATM-/-,25,46.14260192
H2AX-/-,25,49.08174168
H2AX-/-,25,73.80236175
H2AX-/-,25,74.15218185
53BP1-/-BRAC1-/-,25,55.50775763
53BP1-/-BRAC1-/-,25,74.23000714
53BP1-/-BRAC1-/-,25,86.65770725
CH12F3,50,68.48301287
CH12F3,50,79.72973857
CH12F3,50,102.6155176
Lig4-/-,50,57.34674559
Lig4-/-,50,61.46936497
Lig4-/-,50,70.82453973
53BP1-/-,50,78.94736842
53BP1-/-,50,98.28141783
53BP1-/-,50,104.5419672
ATM-/-,50,26.06789021
ATM-/-,50,36.78739646
ATM-/-,50,50.62530453
H2AX-/-,50,42.43515987
H2AX-/-,50,59.10991775
H2AX-/-,50,58.29367086
53BP1-/-BRAC1-/-,50,43.56425363
53BP1-/-BRAC1-/-,50,59.38132649
53BP1-/-BRAC1-/-,50,72.131824
CH12F3,100,35.00438753
CH12F3,100,50.04361376
CH12F3,100,47.55887203
Lig4-/-,100,35.62371267
Lig4-/-,100,41.17339261
Lig4-/-,100,44.82032515
53BP1-/-,100,56.66717815
53BP1-/-,100,95.33527697
53BP1-/-,100,97.17661501
ATM-/-,100,15.34838395
ATM-/-,100,25.28828975
ATM-/-,100,25.48318987
H2AX-/-,100,19.46364028
H2AX-/-,100,32.9900173
H2AX-/-,100,32.05716371
53BP1-/-BRAC1-/-,100,16.93346769
53BP1-/-BRAC1-/-,100,31.45935093
53BP1-/-BRAC1-/-,100,34.04173017
